,uuid,move_number,white_move,black_move,white_time,black_time
0,efe6de36-729d-11ed-a69d-78ac4409ff3c,1,d4,e5,0:10:00,0:09:57.4
1,efe6de36-729d-11ed-a69d-78ac4409ff3c,2,dxe5,Qh4,0:09:58.8,0:09:54.9
2,efe6de36-729d-11ed-a69d-78ac4409ff3c,3,Nf3,Qb4+,0:09:57.4,0:09:47.4
3,efe6de36-729d-11ed-a69d-78ac4409ff3c,4,c3,Qb6,0:09:52.9,0:09:31.2
4,efe6de36-729d-11ed-a69d-78ac4409ff3c,5,Be3,Qxb2,0:09:45.6,0:09:22.8
5,efe6de36-729d-11ed-a69d-78ac4409ff3c,6,Nbd2,Qxc3,0:09:36.5,0:09:06.7
6,efe6de36-729d-11ed-a69d-78ac4409ff3c,7,Rc1,Qa3,0:09:25.2,0:08:51
7,efe6de36-729d-11ed-a69d-78ac4409ff3c,8,Ra1,Bb4,0:09:04.7,0:08:36.4
8,efe6de36-729d-11ed-a69d-78ac4409ff3c,9,Qb1,Qa5,0:08:55.4,0:08:16.7
9,efe6de36-729d-11ed-a69d-78ac4409ff3c,10,g3,Bxd2+,0:08:45.7,0:08:11.4
10,efe6de36-729d-11ed-a69d-78ac4409ff3c,11,Bxd2,Qd5,0:08:44.4,0:07:44.8
11,efe6de36-729d-11ed-a69d-78ac4409ff3c,12,Qb2,d6,0:08:21.1,0:07:35.3
12,efe6de36-729d-11ed-a69d-78ac4409ff3c,13,exd6,cxd6,0:07:42,0:07:32.5
13,efe6de36-729d-11ed-a69d-78ac4409ff3c,14,Qxg7,NaN,0:07:40.6,NaN
0,c44f652e-729e-11ed-a69d-78ac4409ff3c,1,e4,e5,0:10:00,0:09:59.2
1,c44f652e-729e-11ed-a69d-78ac4409ff3c,2,Qh5,Qf6,0:09:57.9,0:09:55.2
2,c44f652e-729e-11ed-a69d-78ac4409ff3c,3,Nf3,Bc5,0:09:49.4,0:09:48.3
3,c44f652e-729e-11ed-a69d-78ac4409ff3c,4,Nxe5,Qxf2+,0:09:45.3,0:09:39.6
4,c44f652e-729e-11ed-a69d-78ac4409ff3c,5,Kd1,Nf6,0:09:33.1,0:09:13.8
5,c44f652e-729e-11ed-a69d-78ac4409ff3c,6,Qxf7+,Kd8,0:09:25,0:08:57.8
6,c44f652e-729e-11ed-a69d-78ac4409ff3c,7,Qxg7,Bb4,0:08:36.4,0:07:52.5
7,c44f652e-729e-11ed-a69d-78ac4409ff3c,8,c3,Nc6,0:08:23.3,0:07:15.7
8,c44f652e-729e-11ed-a69d-78ac4409ff3c,9,Qxh8+,Ke7,0:08:15.9,0:07:11.3
9,c44f652e-729e-11ed-a69d-78ac4409ff3c,10,Nxc6+,dxc6,0:08:07.8,0:07:08.3
10,c44f652e-729e-11ed-a69d-78ac4409ff3c,11,cxb4,Bg4+,0:08:06.7,0:07:02.6
11,c44f652e-729e-11ed-a69d-78ac4409ff3c,12,Kc2,Rd8,0:07:56.6,0:06:48.4
12,c44f652e-729e-11ed-a69d-78ac4409ff3c,13,Qg7+,Ke8,0:07:53,0:06:43.1
13,c44f652e-729e-11ed-a69d-78ac4409ff3c,14,e5,Ne4,0:07:36.7,0:06:28.6
14,c44f652e-729e-11ed-a69d-78ac4409ff3c,15,Qxg4,Nxd2,0:07:33.4,0:06:18.7
15,c44f652e-729e-11ed-a69d-78ac4409ff3c,16,Kc3,Nxf1,0:07:14.5,0:06:05.1
16,c44f652e-729e-11ed-a69d-78ac4409ff3c,17,Qe6+,Kf8,0:06:44.3,0:05:55.7
17,c44f652e-729e-11ed-a69d-78ac4409ff3c,18,Qf6+,Qxf6,0:06:30.3,0:05:45
18,c44f652e-729e-11ed-a69d-78ac4409ff3c,19,exf6,Rd1,0:06:29.2,0:05:31.2
19,c44f652e-729e-11ed-a69d-78ac4409ff3c,20,Bh6+,Kf7,0:06:02.3,0:05:22.1
20,c44f652e-729e-11ed-a69d-78ac4409ff3c,21,Rxf1,Rxf1,0:05:56.9,0:05:18
21,c44f652e-729e-11ed-a69d-78ac4409ff3c,22,Bg7,Rf2,0:05:46.2,0:05:02
22,c44f652e-729e-11ed-a69d-78ac4409ff3c,23,Nd2,Rxg2,0:05:36.2,0:04:53.7
23,c44f652e-729e-11ed-a69d-78ac4409ff3c,24,Bh6,Rxh2,0:05:22,0:04:41.6
24,c44f652e-729e-11ed-a69d-78ac4409ff3c,25,Bg5,Rg2,0:05:10.8,0:04:27.1
25,c44f652e-729e-11ed-a69d-78ac4409ff3c,26,Ne4,Re2,0:05:05,0:03:54.2
26,c44f652e-729e-11ed-a69d-78ac4409ff3c,27,Kd3,Rxb2,0:05:00,0:03:46.2
27,c44f652e-729e-11ed-a69d-78ac4409ff3c,28,a3,Rb3+,0:04:54.9,0:03:16.3
28,c44f652e-729e-11ed-a69d-78ac4409ff3c,29,Kd4,b6,0:04:37.5,0:02:50.9
29,c44f652e-729e-11ed-a69d-78ac4409ff3c,30,Rh1,c5+,0:04:18.8,0:02:45
30,c44f652e-729e-11ed-a69d-78ac4409ff3c,31,Kc4,Rxa3,0:04:12.2,0:02:36.1
31,c44f652e-729e-11ed-a69d-78ac4409ff3c,32,Rxh7+,Kg6,0:04:00.2,0:02:25.4
32,c44f652e-729e-11ed-a69d-78ac4409ff3c,33,Rxc7,Ra4,0:03:34,0:02:16.6
33,c44f652e-729e-11ed-a69d-78ac4409ff3c,34,Rg7+,Kf5,0:03:05.3,0:02:08.3
34,c44f652e-729e-11ed-a69d-78ac4409ff3c,35,Kd3,cxb4,0:02:58,0:02:02.9
35,c44f652e-729e-11ed-a69d-78ac4409ff3c,36,f7,b3,0:02:34.9,0:01:48.8
36,c44f652e-729e-11ed-a69d-78ac4409ff3c,37,f8=Q+,Kg4,0:02:32.2,0:01:40.3
37,c44f652e-729e-11ed-a69d-78ac4409ff3c,38,Qf4+,Kh3,0:02:28.7,0:01:34
38,c44f652e-729e-11ed-a69d-78ac4409ff3c,39,Rh7+,Kg2,0:02:27.8,0:01:28.7
39,c44f652e-729e-11ed-a69d-78ac4409ff3c,40,Qf2#,NaN,0:02:24.7,NaN
0,46e3ab94-72a1-11ed-a69d-78ac4409ff3c,1,e4,Nc6,0:09:59.9,0:09:52.2
1,46e3ab94-72a1-11ed-a69d-78ac4409ff3c,2,Qh5,Nf6,0:09:51,0:09:47.6
2,46e3ab94-72a1-11ed-a69d-78ac4409ff3c,3,Qf3,Nd4,0:09:31.3,0:09:44.7
